"Date","AbsoluteTime","Temperature"
"2014-05-13",3608928000,22.56
"2014-05-14",3609014400,22.22
"2014-05-15",3609100800,17.61
"2014-05-16",3609187200,11.94
"2014-05-17",3609273600,10.44
"2014-05-18",3609360000,14.72
"2014-05-19",3609446400,13.61
"2014-05-20",3609532800,15.39
"2014-05-21",3609619200,21.28
"2014-05-22",3609705600,21
"2014-05-23",3609792000,23.06
"2014-05-24",3609878400,23.78
"2014-05-25",3609964800,22.06
"2014-05-26",3610051200,21.67
"2014-05-27",3610137600,20.33
"2014-05-28",3610224000,23.56
"2014-05-29",3610310400,22.89
"2014-05-30",3610396800,22.56
"2014-05-31",3610483200,21.11
"2014-06-01",3610569600,23.06
"2014-06-02",3610656000,22.78
"2014-06-03",3610742400,23.94
"2014-06-04",3610828800,25.44
"2014-06-05",3610915200,25.39
"2014-06-06",3611001600,21.06
"2014-06-07",3611088000,22.39
"2014-06-08",3611174400,24.44
"2014-06-09",3611260800,24.28
"2014-06-10",3611347200,24.17
"2014-06-11",3611433600,21.11
"2014-06-12",3611520000,21.61
"2014-06-13",3611606400,21.89
"2014-06-14",3611692800,20.28
"2014-06-15",3611779200,23.89
"2014-06-16",3611865600,23.33
"2014-06-17",3611952000,24.78
"2014-06-18",3612038400,26.11
"2014-06-19",3612124800,25
"2014-06-20",3612211200,26.22
"2014-06-21",3612297600,26.22
"2014-06-22",3612384000,22.56
"2014-06-23",3612470400,24.61
"2014-06-24",3612556800,24.72
"2014-06-25",3612643200,22.5
"2014-06-26",3612729600,25.56
"2014-06-27",3612816000,22.72
"2014-06-28",3612902400,25.33
"2014-06-29",3612988800,24.78
"2014-06-30",3613075200,24.22
"2014-07-01",3613161600,26.56
"2014-07-02",3613248000,26.28
"2014-07-03",3613334400,27.5
"2014-07-04",3613420800,23.44
"2014-07-05",3613507200,23.5
"2014-07-06",3613593600,24.06
"2014-07-07",3613680000,26.11
"2014-07-08",3613766400,23.33
"2014-07-09",3613852800,27.06
"2014-07-10",3613939200,26
"2014-07-11",3614025600,22.78
"2014-07-12",3614112000,23.33
"2014-07-13",3614198400,23.44
"2014-07-14",3614284800,27.44
"2014-07-15",3614371200,26.56
"2014-07-16",3614457600,23
"2014-07-17",3614544000,20.78
"2014-07-18",3614630400,22.67
"2014-07-19",3614716800,22.94
